Squad,MP,GF,GA,W,D,L,goals_scored_per_game,goals_conceded_per_game,win_ratio
Afghanistan,12.0,6.0,13.0,2.0,4.0,6.0,0.5,1.0833333333333333,0.16666666666666666
Albania,26.0,26.0,27.0,10.0,4.0,12.0,1.0,1.0384615384615385,0.38461538461538464
Algeria,38.0,87.0,28.0,26.0,8.0,4.0,2.289473684210526,0.7368421052631579,0.6842105263157895
American Samoa,3.0,2.0,13.0,0.0,0.0,3.0,0.6666666666666666,4.333333333333333,0.0
Andorra,23.0,6.0,37.0,1.0,5.0,17.0,0.2608695652173913,1.608695652173913,0.043478260869565216
Angola,28.0,33.0,22.0,11.0,11.0,6.0,1.1785714285714286,0.7857142857142857,0.39285714285714285
Anguilla,16.0,11.0,42.0,3.0,2.0,11.0,0.6875,2.625,0.1875
Antigua and Barbuda,12.0,4.0,24.0,0.0,3.0,9.0,0.3333333333333333,2.0,0.0
Argentina,27.0,59.0,12.0,21.0,3.0,3.0,2.185185185185185,0.4444444444444444,0.7777777777777778
Armenia,21.0,21.0,52.0,4.0,2.0,15.0,1.0,2.4761904761904763,0.19047619047619047
Aruba,16.0,21.0,32.0,4.0,3.0,9.0,1.3125,2.0,0.25
Australia,29.0,53.0,19.0,18.0,5.0,6.0,1.8275862068965518,0.6551724137931034,0.6206896551724138
Austria,27.0,62.0,22.0,17.0,5.0,5.0,2.2962962962962963,0.8148148148148148,0.6296296296296297
Azerbaijan,22.0,20.0,48.0,3.0,5.0,14.0,0.9090909090909091,2.1818181818181817,0.13636363636363635
Bahamas,12.0,13.0,47.0,1.0,1.0,10.0,1.0833333333333333,3.9166666666666665,0.08333333333333333
Bahrain,33.0,36.0,47.0,11.0,6.0,16.0,1.0909090909090908,1.4242424242424243,0.3333333333333333
Bangladesh,17.0,13.0,27.0,4.0,4.0,9.0,0.7647058823529411,1.588235294117647,0.23529411764705882
Barbados,16.0,31.0,34.0,5.0,3.0,8.0,1.9375,2.125,0.3125
Basque Country,2.0,4.0,1.0,1.0,1.0,0.0,2.0,0.5,0.5
Belarus,22.0,22.0,37.0,6.0,7.0,9.0,1.0,1.6818181818181819,0.2727272727272727
Belgium,27.0,56.0,26.0,12.0,8.0,7.0,2.074074074074074,0.9629629629629629,0.4444444444444444
Belize,18.0,29.0,35.0,8.0,2.0,8.0,1.6111111111111112,1.9444444444444444,0.4444444444444444
Benin,24.0,24.0,30.0,10.0,4.0,10.0,1.0,1.25,0.4166666666666667
Bermuda,21.0,34.0,58.0,7.0,2.0,12.0,1.619047619047619,2.761904761904762,0.3333333333333333
Bhutan,10.0,3.0,26.0,1.0,1.0,8.0,0.3,2.6,0.1
Bolivia,29.0,26.0,54.0,9.0,3.0,17.0,0.896551724137931,1.8620689655172413,0.3103448275862069
Bonaire,12.0,11.0,24.0,2.0,2.0,8.0,0.9166666666666666,2.0,0.16666666666666666
Bosnia and Herzegovina,22.0,29.0,35.0,6.0,7.0,9.0,1.3181818181818181,1.5909090909090908,0.2727272727272727
Botswana,20.0,15.0,31.0,5.0,4.0,11.0,0.75,1.55,0.25
