Match_ID,Stage,Home Team,Away Team,ESPN_ID,Pre_Home_Win_Pct,Pre_Draw_Pct,Pre_Away_Win_Pct
1,Group A,Mexico,South Africa,760415,41.77,30.11,28.12
2,Group A,South Korea,Czech Republic,760414,36.41,30.61,32.98
3,Group B,Canada,Bosnia and Herzegovina,760416,40.95,26.12,32.93
4,Group D,United States,Paraguay,760417,39.99,28.95,31.06
5,Group B,Qatar,Switzerland,760420,28.2,29.18,42.62
6,Group C,Brazil,Morocco,760419,44.22,27.57,28.21
7,Group C,Haiti,Scotland,760418,26.5,30.55,42.95
8,Group D,Australia,Turkey,760421,31.44,29.18,39.38
9,Group E,Germany,Curaçao,760422,44.07,27.88,28.05
10,Group F,Netherlands,Japan,760425,44.73,24.33,30.94
11,Group E,Ivory Coast,Ecuador,760423,28.02,31.67,40.31
12,Group F,Sweden,Tunisia,760424,37.04,28.18,34.78
13,Group H,Spain,Cape Verde,760428,47.04,29.09,23.87
14,Group G,Belgium,Egypt,760426,42.99,29.07,27.94
15,Group H,Saudi Arabia,Uruguay,760429,28.29,27.59,44.12
16,Group G,Iran,New Zealand,760427,40.77,26.75,32.48
17,Group I,France,Senegal,760432,40.11,25.79,34.1
18,Group I,Iraq,Norway,760430,30.56,29.25,40.19
19,Group J,Argentina,Algeria,760433,43.86,24.15,31.99
20,Group J,Austria,Jordan,760431,39.43,31.37,29.2
21,Group K,Portugal,DR Congo,760435,44.59,26.62,28.79
22,Group L,England,Croatia,760437,21.13,38.58,40.3
23,Group L,Ghana,Panama,760434,33.18,30.32,36.5
24,Group K,Uzbekistan,Colombia,760436,28.32,28.79,42.88
25,Group A,Czech Republic,South Africa,760438,35.19,30.74,34.07
26,Group B,Switzerland,Bosnia and Herzegovina,760439,41.35,30.2,28.45
27,Group B,Canada,Qatar,760440,41.5,27.86,30.64
28,Group A,Mexico,South Korea,760441,39.92,30.32,29.76
29,Group D,United States,Australia,760442,42.14,28.47,29.39
30,Group C,Scotland,Morocco,760445,33.08,29.13,37.79
31,Group C,Brazil,Haiti,760444,46.16,23.97,29.87
32,Group D,Turkey,Paraguay,760443,35.69,31.02,33.29
33,Group F,Netherlands,Sweden,760447,43.13,29.19,27.68
34,Group E,Germany,Ivory Coast,760448,42.68,29.5,27.82
35,Group E,Ecuador,Curaçao,760446,44.24,27.08,28.68
36,Group F,Tunisia,Japan,760449,32.32,30.39,37.29
37,Group H,Spain,Saudi Arabia,760453,45.79,29.59,24.62
38,Group G,Belgium,Iran,760451,44.07,29.48,26.45
39,Group H,Uruguay,Cape Verde,760450,44.28,27.67,28.05
40,Group G,New Zealand,Egypt,760452,30.84,26.84,42.32
41,Group J,Argentina,Austria,760456,42.77,23.99,33.24
42,Group I,France,Iraq,760457,42.16,30.55,27.29
43,Group I,Norway,Senegal,760454,40.04,21.5,38.46
44,Group J,Jordan,Algeria,760455,32.57,30.67,36.76
45,Group K,Portugal,Uzbekistan,760461,44.56,26.58,28.87
46,Group L,England,Ghana,760458,29.89,44.08,26.04
47,Group L,Panama,Croatia,760460,27.96,29.91,42.13
48,Group K,Colombia,DR Congo,760459,42.74,28.73,28.53
49,Group B,Bosnia and Herzegovina,Qatar,760462,37.4,26.2,36.4
