fifa_ranking,club,average_age,historical_participation,market_value_euros,average_market_value_euros,squad_size,fifa_points
1,France,27.0,17,€1.48bn,€56.77m,26,1877.32
2,Spain,26.7,18,€1.27bn,€48.73m,26,1876.4
3,Argentina,29.0,20,€816.50m,€31.40m,26,1874.81
4,England,27.1,17,€1.31bn,€50.38m,26,1825.97
5,Portugal,28.0,10,€957.00m,€36.81m,26,1763.83
6,Brazil,29.2,23,€909.20m,€34.97m,26,1761.16
7,Netherlands,27.7,12,€837.20m,€32.20m,26,1757.87
8,Morocco,26.4,8,€487.20m,€18.74m,26,1755.87
9,Belgium,27.6,15,€530.20m,€20.39m,26,1734.71
10,Germany,28.0,21,€998.00m,€38.38m,26,1730.37
11,Croatia,28.3,7,€385.70m,€14.83m,26,1717.07
12,Colombia,30.1,7,€305.45m,€11.75m,26,1693.09
13,Senegal,26.9,4,€468.00m,€16.71m,28,1688.99
14,Mexico,26.4,18,€121.60m,€8.11m,15,1681.03
15,United States,26.9,12,€367.20m,€14.12m,26,1673.13
16,Uruguay,28.5,16,€371.10m,€13.25m,28,1673.07
17,Japan,28.1,8,€279.05m,€10.34m,27,1660.43
18,Switzerland,28.3,13,€331.10m,€12.73m,26,1649.4
19,Iran,29.2,7,€35.50m,€1.18m,30,1615.3
20,Turkey,27.1,3,€536.20m,€15.32m,35,1599.04
21,Ecuador,24.2,5,€257.05m,€7.56m,34,1594.78
22,Austria,28.5,9,€271.70m,€10.45m,26,1593.45
23,South Korea,28.2,12,€142.30m,€5.47m,26,1588.66
24,Australia,27.0,7,€69.80m,€2.59m,27,1580.67
25,Algeria,26.0,5,€226.80m,€8.72m,26,1564.26
26,Egypt,28.8,4,€135.43m,€5.02m,27,1563.24
27,Canada,26.3,3,€217.65m,€6.80m,32,1556.48
28,Norway,26.8,4,€601.00m,€23.12m,26,1550.94
29,Panama,30.4,2,€34.93m,€1.34m,26,1540.64
30,Ivory Coast,25.7,4,€530.90m,€20.42m,26,1532.98
31,Sweden,27.4,13,€436.38m,€16.78m,26,1514.77
32,Paraguay,28.9,10,€138.80m,€5.55m,25,1503.5
33,Czech Republic,27.5,2,€196.23m,€6.77m,29,1501.38
34,Scotland,29.4,9,€196.23m,€7.55m,26,1498.35
35,Tunisia,26.6,7,€69.25m,€2.66m,26,1483.05
36,DR Congo,29.1,1,€147.05m,€5.66m,26,1478.35
37,Uzbekistan,27.1,1,€78.73m,€1.97m,40,1465.34
38,Qatar,29.0,2,€20.48m,€731k,28,1454.96
39,Iraq,26.5,2,€23.90m,€724k,33,1447.14
40,South Africa,26.8,4,€45.80m,€1.76m,26,1429.73
41,Saudi Arabia,27.4,7,€31.25m,€1.30m,24,1421.43
42,Jordan,27.8,1,€18.35m,€612k,30,1391.45
43,Bosnia and Herzegovina,26.9,2,€147.70m,€5.68m,26,1385.84
44,Cape Verde,29.7,1,€56.18m,€2.16m,26,1366.13
45,Ghana,26.7,5,€234.75m,€8.38m,28,1346.31
46,Curaçao,28.0,1,€26.03m,€1.00m,26,1294.65
47,Haiti,27.6,2,€55.88m,€2.15m,26,1291.71
48,New Zealand,28.1,3,€35.35m,€1.36m,26,1281.57
